Company,TypeName,Inches,Ram,Weight,Price,Touchscreen,IPS,ppi,cpu_brand,HDD,SSD,gpu_brand,OS
Apple,Ultrabook,13,8,1.37,131.48152208695043,0,1,232.22107401985488,Intel Core i5,0,128,Intel,Other
Apple,Ultrabook,13,8,1.34,126.78757894661753,0,0,130.62435413616836,Intel Core i5,0,0,Intel,Other
HP,Notebook,15,8,1.86,121.53060601049518,0,0,146.86047800548656,Intel Core i5,0,256,Intel,Other
Apple,Ultrabook,15,16,1.83,138.9960988055377,0,1,226.4155471693585,Intel Core i7,0,512,AMD,Other
Apple,Ultrabook,13,8,1.37,134.97978671171552,0,1,232.22107401985488,Intel Core i5,0,256,Intel,Other
Acer,Notebook,15,4,2.1,117.26105916778913,0,0,104.47285665558198,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,15,16,2.04,136.991705491327,0,1,226.4155471693585,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,13,8,1.34,129.7739801765407,0,0,130.62435413616836,Intel Core i5,0,0,Intel,Other
Asus,Ultrabook,14,16,1.3,132.77201398928804,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,14,8,1.6,124.96602562255772,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,15,4,1.86,117.07970622701785,0,0,104.47285665558198,Intel Core i5,500,0,Intel,Other
HP,Notebook,15,4,1.86,115.52040960111749,0,0,146.86047800548656,Intel Core i3,500,0,Intel,Other
Apple,Ultrabook,15,16,1.83,138.53519663674456,0,1,226.4155471693585,Intel Core i7,0,256,AMD,Other
Dell,Notebook,15,4,2.2,119.86023594163716,0,0,146.86047800548656,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,12,8,0.92,130.7824047598885,0,1,226.41554716935852,Other Intel Processor,0,256,Intel,Other
Apple,Ultrabook,13,8,1.37,132.9559347446441,0,1,232.22107401985488,Intel Core i5,0,256,Intel,Other
Dell,Notebook,15,8,2.2,124.57770407126641,0,0,146.86047800548656,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,15,16,1.83,140.39569070969765,0,1,226.4155471693585,Intel Core i7,0,512,AMD,Other
Lenovo,Notebook,15,8,2.2,119.86244876162603,0,0,146.86047800548656,Intel Core i3,1000,0,Nvidia,Other
Dell,Ultrabook,13,8,1.22,127.79140697278793,1,1,169.45439769863833,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,11,2,0.98,108.61935897358508,0,0,142.46298634852087,Other Intel Processor,0,0,Intel,Windows
